RAG Variant,N Answered,N Abstained,NDCG@3,NDCG@3 CI,NDCG@3 (Answered),NDCG@3 (Answered) CI,MRR@3,Recall@3,Precision@3,Hit Rate@3,SemSim (Answered),ROUGE-L (Answered),ROUGE-L CI,BLEU (Answered),F1 (Answered),F1 CI,Exact Match (Answered),Faithfulness (Answered),Hallucination Rate (Answered),ECE,Brier Score,AUROC,Abstain Precision,Abstain Recall,Fast %,Corrective %,Abstain %,Avg Latency (s)
VANILLA,150,0,0.7672,"[0.7174, 0.8138]",0.7672,"[0.7174, 0.8138]",0.8122,0.7482,0.4733,0.9133,0.6239,0.1611,"[0.1454, 0.1795]",0.0297,0.2233,"[0.2039, 0.2451]",0.0,0.688,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75
BM25,150,0,0.6812,"[0.6151, 0.7422]",0.6812,"[0.6151, 0.7422]",0.7244,0.6608,0.4022,0.7933,0.6095,0.1545,"[0.1399, 0.1698]",0.0271,0.2176,"[0.1995, 0.2366]",0.0,0.6264,0.3736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45
HYBRID,150,0,0.7637,"[0.7075, 0.8126]",0.7637,"[0.7075, 0.8126]",0.8022,0.736,0.4556,0.8867,0.615,0.1637,"[0.1469, 0.1834]",0.0288,0.2264,"[0.2054, 0.2475]",0.0,0.6737,0.3263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.07
CRAG,150,0,0.7914,"[0.7428, 0.836]",0.7914,"[0.7428, 0.836]",0.82,0.7722,0.4844,0.9133,0.6197,0.1637,"[0.1472, 0.184]",0.0303,0.2238,"[0.2035, 0.2459]",0.0,0.6787,0.3213,0.3712,0.2251,0.1477,0.0,0.0,72.0,28.0,0.0,8.97
ADAPTIVE,125,25,0.7661,"[0.7172, 0.8123]",0.7723,"[0.7144, 0.8242]",0.8078,0.7532,0.4689,0.9133,0.6439,0.1698,"[0.1491, 0.193]",0.0331,0.2282,"[0.2042, 0.255]",0.0,0.7049,0.2951,0.4034,0.2726,0.1656,0.64,0.16,45.3,38.0,16.7,8.86
