Variant,Pathway,Count,NDCG@3,MRR@3,Precision@3,Hit Rate@3,Avg F1,Avg BLEU,Avg SemSim,Avg Faithfulness,Avg Latency (s)
VANILLA,Direct,150,0.7672,0.8122,0.4733,0.9133,0.2233,0.0297,0.6239,0.688,8.75
BM25,Direct,150,0.6812,0.7244,0.4022,0.7933,0.2176,0.0271,0.6095,0.6264,9.45
HYBRID,Direct,150,0.7637,0.8022,0.4556,0.8867,0.2264,0.0288,0.615,0.6737,9.07
CRAG,Fast,108,0.7475,0.7685,0.5,0.8889,0.2209,0.0259,0.6511,0.7233,9.53
CRAG,Corrective,42,0.9041,0.9524,0.4444,0.9762,0.2313,0.0414,0.5392,0.5641,7.52
ADAPTIVE,Fast,68,0.6937,0.6691,0.4412,0.8235,0.216,0.0243,0.6917,0.7546,9.93
ADAPTIVE,Corrective,57,0.866,0.9532,0.5263,1.0,0.2428,0.0435,0.587,0.6457,8.02
ADAPTIVE,Abstain,25,0.7352,0.8533,0.4133,0.96,N/A,N/A,N/A,N/A,7.86
