generator_model,rag_variant,accuracy,bleu,exact_match,hit@1,hit@3,hit@5,hit@7,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@7,partial_exact_match,precision@1,precision@3,precision@5,precision@7,prediction_length,recall@1,recall@3,recall@5,recall@7,reference_length,rouge1,rouge2,rougeL,token_f1,token_precision,token_recall
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,vanilla_rag,0.0,0.07717024801490048,0.0,0.6,0.85,0.85,0.85,0.7166666666666667,0.6,0.7511859507142915,0.7511859507142915,0.7511859507142915,0.1,0.6,0.2833333333333333,0.17,0.12142857142857143,57.725,0.6,0.85,0.85,0.85,52.025,0.281131746511578,0.12342415167949314,0.20431588982618182,0.2826853841452507,0.2651329430798861,0.33577532542267063
unsloth/mistral-7b-instruct-v0.3-bnb-4bit,vanilla_rag,0.0,0.08521655143477463,0.0,0.6,0.85,0.85,0.85,0.7166666666666667,0.6,0.7511859507142915,0.7511859507142915,0.7511859507142915,0.125,0.6,0.2833333333333333,0.17,0.12142857142857143,41.225,0.6,0.85,0.85,0.85,52.025,0.293144664012952,0.13753190581959493,0.21429344536317652,0.2878527243659658,0.31043461616027407,0.3133486548161865
