generator_model,rag_variant,accuracy,bleu,exact_match,hit@1,hit@3,hit@5,hit@7,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@7,partial_exact_match,precision@1,precision@3,precision@5,precision@7,prediction_length,recall@1,recall@3,recall@5,recall@7,reference_length,rouge1,rouge2,rougeL,token_f1,token_precision,token_recall
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,bm25_rag,0.0,0.05327608285052762,0.0,0.675,0.85,0.85,0.85,0.7541666666666667,0.675,0.7788662191964322,0.7788662191964322,0.7788662191964322,0.075,0.675,0.2833333333333333,0.17,0.12142857142857143,84.125,0.675,0.85,0.85,0.85,52.025,0.236535604505252,0.0909551741886963,0.16406379863046436,0.24211305626725824,0.20749189905924267,0.3220988995818233
unsloth/mistral-7b-instruct-v0.3-bnb-4bit,bm25_rag,0.0,0.08749504284003168,0.0,0.675,0.85,0.85,0.85,0.7541666666666667,0.675,0.7788662191964322,0.7788662191964322,0.7788662191964322,0.175,0.675,0.2833333333333333,0.17,0.12142857142857143,49.225,0.675,0.85,0.85,0.85,52.025,0.30345940699599144,0.1409377144185445,0.22091733695400922,0.29888449083535024,0.30630933087028084,0.33571860779264345
