model,EM,F1,Recall@K,Hallucination,Confidence,BLEU,ROUGE-1,ROUGE-L,BERT-F1
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,0.02586206896551724,0.25482518547338623,0.8879310344827587,0.9385264053426939,0.35647131502628326,0.08399691006356756,0.28263956610799695,0.22292263091952985,0.851135118768133
unsloth/mistral-7b-instruct-v0.3-bnb-4bit,0.02586206896551724,0.3132891715881429,0.8879310344827587,0.8831159503295504,0.38417654253285505,0.13869846994365062,0.3332313169404912,0.27786202078193123,0.8607009834256666
